method,method_label,step,mean_return,std_return,n_seeds,sem_return,step_millions
adam,Adam,7274496,141.6121571858724,12.021784161033299,3,6.940780321512155,7.274496
adam,Adam,7471104,154.54192606608072,10.506881322317877,3,6.066150759783678,7.471104
adam,Adam,7667712,164.86243693033853,8.28723220277525,3,4.784635743109226,7.667712
adam,Adam,7864320,175.86607869466147,11.286336861108033,3,6.516169624925519,7.86432
adam,Adam,8060928,189.12831115722656,10.278048928952611,3,5.934034315874935,8.060928
adam,Adam,8257536,210.7872060139974,11.726117430524663,3,6.770077055062577,8.257536
adam,Adam,8454144,221.10218811035156,4.610412142869096,3,2.6618226917605923,8.454144
adam,Adam,8650752,239.60449218749997,13.98713876575326,3,8.075478331600294,8.650752
adam,Adam,8847360,266.6318359375,8.49125895911617,3,4.902430645804542,8.84736
adam,Adam,9043968,280.35694376627606,5.93385624142762,3,3.4259134983207775,9.043968
adam,Adam,9240576,303.52234903971356,22.955747616035694,3,13.25350706556732,9.240576
adam,Adam,9437184,320.7155354817708,21.221837772600477,3,12.252433750709454,9.437184
adam,Adam,9633792,359.8066813151042,15.004152153606729,3,8.662651284846948,9.633792
adam,Adam,9830400,378.9778340657552,1.9059482418514881,3,1.1003997304944506,9.8304
adam,Adam,10027008,402.9113464355469,30.103475666619808,3,17.380249779666297,10.027008
adam,Adam,10223616,435.784423828125,30.484756531312385,3,17.600382389533408,10.223616
adam,Adam,10420224,463.7827453613281,45.97640191347307,3,26.544488021114102,10.420224
adam,Adam,10616832,496.65843709309894,35.05076049546568,3,20.236566007358213,10.616832
adam,Adam,10813440,525.4872029622396,43.70658040000958,3,25.234005959303552,10.81344
adam,Adam,11010048,560.8775533040365,57.8821384583243,3,33.41826822018473,11.010048
adam,Adam,11206656,594.3698120117188,45.34492410970805,3,26.179904141123096,11.206656
adam,Adam,11403264,640.7726643880209,40.47708582918682,3,23.3694563994926,11.403264
adam,Adam,11599872,710.1007486979166,88.7125676919575,3,51.218224837454564,11.599872
adam,Adam,11796480,726.8771565755209,54.34899207337503,3,31.378405203747914,11.79648
adam,Adam,11993088,753.8732706705729,28.565306685929293,3,16.492187504605496,11.993088
adam,Adam,12189696,800.3850708007812,76.36131734206667,3,44.087227123116634,12.189696
adam,Adam,12386304,809.9635416666666,53.635955255603584,3,30.966733205065452,12.386304
adam,Adam,12582912,898.9526977539062,61.46829908942054,3,35.48873902590538,12.582912
adam,Adam,12779520,897.9150594075521,56.32547336950463,3,32.5195272121166,12.77952
adam,Adam,12976128,982.2857462565104,85.20546153497281,3,49.19339615364286,12.976128
adam,Adam,13172736,1069.0167236328125,45.62189020000089,3,26.339810587910065,13.172736
adam,Adam,13369344,1089.6574300130208,74.43361909028916,3,42.974270018536515,13.369344
adam,Adam,13565952,1123.2305501302083,66.38136091037316,3,38.32529659077765,13.565952
adam,Adam,13762560,1173.2693277994792,67.55892190694539,3,39.00516174913582,13.76256
adam,Adam,13959168,1225.7116292317708,93.79282995220112,3,54.15131562096011,13.959168
adam,Adam,14155776,1289.9455973307292,90.25284198201464,3,52.107502613444915,14.155776
adam,Adam,14352384,1383.9729410807292,116.67730725573016,3,67.36367475241649,14.352384
adam,Adam,14548992,1451.9037272135417,95.76406874416274,3,55.28941086813619,14.548992
adam,Adam,14745600,1435.3931070963542,105.88613383585361,3,61.133387873578826,14.7456
adam,Adam,14942208,1478.8555908203125,129.86612789455208,3,74.97824389853402,14.942208
adam,Adam,15138816,1562.3973388671875,126.0850778881084,3,72.79525365949432,15.138816
adam,Adam,15335424,1571.9259440104167,168.61165040155896,3,97.34798174784714,15.335424
adam,Adam,15532032,1719.7279866536458,167.07594340462458,3,96.46134089977069,15.532032
adam,Adam,15728640,1832.5281168619792,228.08332796723474,3,131.6839707995487,15.72864
adam,Adam,15925248,1843.9517822265625,274.8556417273532,3,158.6879787395747,15.925248
adam,Adam,16121856,2019.4398600260417,266.85739146679094,3,154.0701867985931,16.121856
adam,Adam,16318464,2073.865966796875,247.94942972854105,3,143.15366999918737,16.318464
adam,Adam,16515072,2207.2789306640625,400.52792621311073,3,231.24490601710207,16.515072
adam,Adam,16711680,2381.0690104166665,446.74497675335294,3,257.92833258766143,16.71168
adam,Adam,16908288,2473.971883138021,381.3741423913545,3,220.1864637716112,16.908288
adam,Adam,17104896,2592.7974446614585,529.22993798856,3,305.5510471609041,17.104896
adam,Adam,17301504,2638.56689453125,345.5912742388953,3,199.527215211412,17.301504
adam,Adam,17498112,2702.3810221354165,346.3912410839299,3,199.9890762847355,17.498112
adam,Adam,17694720,2860.730712890625,523.3617994414323,3,302.16307579107786,17.69472
adam,Adam,17891328,3011.932373046875,620.3104108636397,3,358.1363826932498,17.891328
adam,Adam,18087936,3113.1806640625,600.8127364130189,3,346.87939510061216,18.087936
adam,Adam,18284544,3201.3003743489585,586.5422888512426,3,338.64034835936417,18.284544
adam,Adam,18481152,3272.624267578125,500.79570252587536,3,289.1345336623219,18.481152
adam,Adam,18677760,3220.7738444010415,588.8354394998873,3,339.96429950365155,18.67776
adam,Adam,18874368,3437.2599283854165,539.6852905745269,3,311.58744779088454,18.874368
adam,Adam,19070976,3485.2937825520835,442.53113719914586,3,255.49547118671808,19.070976
adam,Adam,19267584,3569.19921875,503.7851845769415,3,290.8605119292425,19.267584
adam,Adam,19464192,3698.9628092447915,660.4192178659221,3,381.2932132128922,19.464192
adam,Adam,19660800,3672.093994140625,605.445528369829,3,349.55413878397604,19.6608
adam,Adam,19857408,3740.118408203125,617.567731025328,3,356.55289575029957,19.857408
adam,Adam,20054016,3732.0353190104165,606.1938461982878,3,349.9861802836761,20.054016
adam,Adam,20250624,3708.7022298177085,568.967802997438,3,328.49371422080077,20.250624
adam,Adam,20447232,3803.0728352864585,740.7772969527391,3,427.6879718052273,20.447232
adam,Adam,20643840,3921.7272135416665,753.6060036119314,3,435.0946290482667,20.64384
adam,Adam,20840448,3919.1748046875,748.937811920875,3,432.3994473188065,20.840448
adam,Adam,21037056,4038.1610514322915,747.4148424336398,3,431.5201604753837,21.037056
adam,Adam,21233664,3968.6219889322915,926.9965446031987,3,535.2017045645097,21.233664
adam,Adam,21430272,4057.455322265625,659.9051679851266,3,380.99642637583804,21.430272
adam,Adam,21626880,4096.782552083333,704.8867223008657,3,406.9665388685978,21.62688
adam,Adam,21823488,4108.182779947917,777.9070553134044,3,449.12484778970315,21.823488
adam,Adam,22020096,4246.269938151042,766.5264558272576,3,442.554255612837,22.020096
adam,Adam,22216704,4286.101969401042,757.4194776466337,3,437.29633930874974,22.216704
adam,Adam,22413312,4350.128662109375,733.6819032066377,3,423.59144431590926,22.413312
adam,Adam,22609920,4348.117513020833,655.9858109356602,3,378.7335845282784,22.60992
adam,Adam,22806528,4397.322509765625,814.630861028187,3,470.32734690480044,22.806528
adam,Adam,23003136,4285.292317708333,572.7489263708025,3,330.67674681825196,23.003136
adam,Adam,23199744,4498.433186848958,864.4035599758079,3,499.06362804050354,23.199744
adam,Adam,23396352,4528.012369791667,758.1112310570186,3,437.6957233264483,23.396352
adam,Adam,23592960,4380.822184244792,956.582864175216,3,552.2833741337441,23.59296
adam,Adam,23789568,4472.861409505208,824.2669575454435,3,475.89074982297564,23.789568
adam,Adam,23986176,4426.718912760417,844.0409797969099,3,487.3072868928215,23.986176
adam,Adam,24182784,4452.220540364583,756.6610737283708,3,436.85847460238614,24.182784
adam,Adam,24379392,4621.193277994792,894.5620809632272,3,516.475658250951,24.379392
adam,Adam,24576000,4747.993815104167,796.9875385942263,3,460.14096994815384,24.576
adam,Adam,24772608,4732.027018229167,921.3258854464901,3,531.9277479739014,24.772608
adam,Adam,24969216,4748.261555989583,809.2236046648342,3,467.2054659878413,24.969216
adam,Adam,25165824,4722.496744791667,829.7808277065025,3,479.0741842447397,25.165824
adam,Adam,25362432,4807.843098958333,1066.7107616024682,3,615.8657453586558,25.362432
adam,Adam,25559040,5052.82763671875,913.9591786026261,3,527.6745777945555,25.55904
adam,Adam,25755648,4951.142252604167,922.1182182751331,3,532.3852015458062,25.755648
adam,Adam,25952256,5034.208821614583,889.9092288086586,3,513.7893328070113,25.952256
adam,Adam,26148864,5114.152994791667,881.526177266504,3,508.9493757425179,26.148864
adam,Adam,26345472,5006.065755208333,764.3846462967233,3,441.3176813038301,26.345472
adam,Adam,26542080,5166.228352864583,690.0759350811925,3,398.41552688040923,26.54208
adam,Adam,26738688,5175.785481770833,820.9658295244269,3,473.9848426714123,26.738688
adam,Adam,26935296,5149.572916666667,826.3651046473989,3,477.10211561708905,26.935296
adam,Adam,27131904,5081.345052083333,558.4109868225102,3,322.3987335604208,27.131904
adam,Adam,27328512,5246.01171875,751.3125639997073,3,433.770511070779,27.328512
adam,Adam,27525120,5170.93359375,990.007980200846,3,571.5813738688362,27.52512
adam,Adam,27721728,5182.7080078125,676.8254463498048,3,390.76535364444845,27.721728
adam,Adam,27918336,5177.595540364583,1032.257894932534,3,595.974373512415,27.918336
adam,Adam,28114944,5230.009114583333,846.7725654786748,3,488.8843686215029,28.114944
adam,Adam,28311552,5081.62060546875,785.6351652540804,3,453.58667414427947,28.311552
adam,Adam,28508160,5117.1962890625,1102.423612286865,3,636.4845693148211,28.50816
adam,Adam,28704768,5203.41650390625,898.763626160341,3,518.9014215015171,28.704768
adam,Adam,28901376,5338.822265625,915.9118693371765,3,528.8019643157922,28.901376
adam,Adam,29097984,5340.298177083333,934.1755933357354,3,539.3465302827652,29.097984
adam,Adam,29294592,5178.568522135417,830.7094170071296,3,479.61030552742335,29.294592
adam,Adam,29491200,5152.240885416667,839.3714002991267,3,484.6113039127739,29.4912
adam,Adam,29687808,5211.2470703125,813.1930305526561,3,469.4972150927036,29.687808
adam,Adam,29884416,5305.283040364583,811.2789191315934,3,468.3921023484941,29.884416
adam,Adam,30081024,5307.069010416667,926.1544258668283,3,534.7155070853767,30.081024
adam,Adam,30277632,5401.078125,725.3406039700554,3,418.77559295627725,30.277632
adam,Adam,30474240,5381.33837890625,738.5044652045821,3,426.3757517836061,30.47424
adam,Adam,30670848,5309.465657552083,1040.0473231225383,3,600.4716019747472,30.670848
adam,Adam,30867456,5115.704427083333,1059.4695775125645,3,611.6850457750982,30.867456
adam,Adam,31064064,5327.998046875,821.8318091381252,3,474.48481623449374,31.064064
adam,Adam,31260672,5313.930826822917,934.7723252973906,3,539.6910536414609,31.260672
adam,Adam,31457280,5439.862141927083,832.8942958655834,3,480.87174592449844,31.45728
adam,Adam,31653888,5505.747721354167,648.9046035871247,3,374.64524755941386,31.653888
adam,Adam,31850496,5544.71826171875,727.8905283840337,3,420.2477925031008,31.850496
adam,Adam,32047104,5544.303548177083,700.1234510391906,3,404.2164629234465,32.047104
adam,Adam,32243712,5451.406087239583,776.7034274844816,3,448.42993293867045,32.243712
adam,Adam,32440320,5491.7900390625,910.5717760831506,3,525.7188600380827,32.44032
adam,Adam,32636928,5670.09765625,729.1851223533869,3,420.9952266797981,32.636928
adam,Adam,32833536,5512.050618489583,934.4197121112014,3,539.4874723234948,32.833536
adam,Adam,33030144,5631.74951171875,939.9336019170473,3,542.6709180871818,33.030144
adam,Adam,33226752,5531.176432291667,880.529955950809,3,508.37420709772897,33.226752
adam,Adam,33423360,5549.194661458333,952.1170439062006,3,549.7050315992757,33.42336
adam,Adam,33619968,5591.922526041667,867.2577376085549,3,500.711488265085,33.619968
adam,Adam,33816576,5595.670735677083,910.609692355519,3,525.7407510081412,33.816576
adam,Adam,34013184,5654.404459635417,898.4419096959351,3,518.7156784141896,34.013184
adam,Adam,34209792,5552.29248046875,780.9978200114898,3,450.90930162014456,34.209792
adam,Adam,34406400,5615.19091796875,784.3009346432937,3,452.8163557419807,34.4064
adam,Adam,34603008,5597.208170572917,875.4273199926726,3,505.42819885372217,34.603008
adam,Adam,34799616,5749.562662760417,772.2507743995708,3,445.8591924814892,34.799616
adam,Adam,34996224,5720.338053385417,886.9354991842334,3,512.0724492078523,34.996224
adam,Adam,35192832,5529.005696614583,825.4597325572541,3,476.57939879712717,35.192832
adam,Adam,35389440,5628.320638020833,829.6920259808924,3,479.0229145445542,35.38944
adam,Adam,35586048,5652.8203125,924.0127965666223,3,533.4790368323984,35.586048
adam,Adam,35782656,5538.434244791667,845.6308857365929,3,488.2252195150836,35.782656
adam,Adam,35979264,5569.431477864583,762.0101232682781,3,439.9467497941603,35.979264
adam,Adam,36175872,5605.624348958333,1046.0513471556353,3,603.9380268664768,36.175872
adam,Adam,36372480,5457.301432291667,970.1488679437998,3,560.1157100613635,36.37248
adam,Adam,36569088,5406.842610677083,1088.2529120863446,3,628.3031117394453,36.569088
adam,Adam,36765696,5305.182291666667,912.1483553507604,3,526.629098502636,36.765696
adam,Adam,36962304,5310.51513671875,1180.0028496508821,3,681.2749628904623,36.962304
adam,Adam,37158912,5424.327311197917,834.253138704076,3,481.6562742030885,37.158912
adam,Adam,37355520,5394.54736328125,1085.7239062739627,3,626.8429895528844,37.35552
adam,Adam,37552128,5113.064453125,1054.3862140410793,3,608.7501645064475,37.552128
adam,Adam,37748736,5265.88330078125,1063.609299915955,3,614.0751156190661,37.748736
adam,Adam,37945344,5270.963216145833,1069.4774160129978,3,617.4630740273296,37.945344
adam,Adam,38141952,5325.23193359375,1021.832458020839,3,589.9552447050283,38.141952
adam,Adam,38338560,5277.216959635417,988.4284366817271,3,570.6694239928762,38.33856
adam,Adam,38535168,5389.78564453125,830.1218945538922,3,479.2710992808918,38.535168
adam,Adam,38731776,5171.686848958333,953.1895772263789,3,550.3242590003955,38.731776
adam,Adam,38928384,5346.002766927083,947.8592253533233,3,547.2467789116114,38.928384
adam,Adam,39124992,5345.5576171875,827.4000342701429,3,477.6996325133726,39.124992
adam,Adam,39321600,5282.636881510417,683.0311400480371,3,394.34821257163117,39.3216
adam,Adam,39518208,5315.699055989583,767.5452008273609,3,443.1424283128822,39.518208
adam,Adam,39714816,5191.245279947917,836.5471748080237,3,482.9807365652334,39.714816
adam,Adam,39911424,5372.948079427083,833.2465671654484,3,481.0751298543032,39.911424
adam,Adam,40108032,5258.989583333333,1098.1810183319787,3,634.0351065529053,40.108032
adam,Adam,40304640,55.82987721761068,0.9477240207924683,3,0.5471687185220061,40.30464
adam,Adam,40501248,71.21701558430989,1.7107163556286658,3,0.9876825484293058,40.501248
adam,Adam,40697856,76.87432607014973,1.8689414025547537,3,1.0790338218646238,40.697856
adam,Adam,40894464,81.22601064046223,0.7271337290643615,3,0.4198108542121655,40.894464
adam,Adam,41091072,88.58215077718098,2.032842511964015,3,1.1736621715025393,41.091072
adam,Adam,41287680,93.27098846435547,3.0242473625851116,3,1.74605002888453,41.28768
adam,Adam,41484288,99.39107004801433,4.767373339781538,3,2.7524442810503165,41.484288
adam,Adam,41680896,104.6827621459961,6.947677650353376,3,4.011243561674268,41.680896
adam,Adam,41877504,111.86290232340495,4.955718030866185,3,2.8611851391484744,41.877504
adam,Adam,42074112,117.12273661295573,9.554937427323468,3,5.516545695755235,42.074112
adam,Adam,42270720,122.5245361328125,13.50367138407912,3,7.796348308646326,42.27072
adam,Adam,42467328,131.23095194498697,13.808480675481992,3,7.972330035089274,42.467328
adam,Adam,42663936,142.41543324788412,16.24208316372736,3,9.37737108677828,42.663936
adam,Adam,42860544,151.29920450846353,17.820104411302903,3,10.28844207885297,42.860544
adam,Adam,43057152,164.11092122395834,23.222947519420867,3,13.40777500171419,43.057152
adam,Adam,43253760,174.0289306640625,30.538485739063784,3,17.631402962092025,43.25376
adam,Adam,43450368,186.2624715169271,31.796911142113764,3,18.357955207297994,43.450368
adam,Adam,43646976,202.42385864257812,34.971482585068216,3,20.190794884449446,43.646976
adam,Adam,43843584,208.3888142903646,33.636157151889996,3,19.419844386148245,43.843584
adam,Adam,44040192,224.56707763671875,36.739302736601516,3,21.21144632481604,44.040192
adam,Adam,44236800,240.43560791015625,42.786059176700945,3,24.70254278323155,44.2368
adam,Adam,44433408,248.86907958984375,45.04789342279583,3,26.008413394076747,44.433408
adam,Adam,44630016,275.45948791503906,53.43062770553245,3,30.84818728875984,44.630016
adam,Adam,44826624,291.66827901204425,53.99995646108398,3,31.17688939903491,44.826624
adam,Adam,45023232,301.9117126464844,38.535252557596465,3,22.248338437418536,45.023232
adam,Adam,45219840,307.3109537760417,35.234709673526126,3,20.34276911482862,45.21984
adam,Adam,45416448,329.63047281901044,47.30544149495573,3,27.311809381246785,45.416448
adam,Adam,45613056,346.8266296386719,51.936225956582604,3,29.9853940367262,45.613056
adam,Adam,45809664,369.2769266764323,67.60183267719823,3,39.02993629389244,45.809664
adam,Adam,46006272,397.9881083170573,68.1449169849835,3,39.34348616518493,46.006272
adam,Adam,46202880,421.1561686197917,72.61413921996375,3,41.92379282561903,46.20288
adam,Adam,46399488,445.080078125,83.45402146038089,3,48.18220175510771,46.399488
adam,Adam,46596096,452.6965840657552,73.77027640784657,3,42.59128894226332,46.596096
adam,Adam,46792704,502.42981974283856,88.82725486952154,3,51.28443951029376,46.792704
adam,Adam,46989312,523.9525756835938,105.25540592484683,3,60.76923694437365,46.989312
adam,Adam,47185920,538.10302734375,102.43965182164833,3,59.1435605549202,47.18592
adam,Adam,47382528,583.3480529785156,82.74833182528539,3,47.774771654321,47.382528
adam,Adam,47579136,605.5588785807291,106.06599694328406,3,61.23723188707108,47.579136
adam,Adam,47775744,630.8049723307291,87.68347464566104,3,50.62407769015413,47.775744
adam,Adam,47972352,648.9502970377604,112.56898591585967,3,64.99173432092478,47.972352
adam,Adam,48168960,696.3375447591146,96.38810233278414,3,55.64969682851012,48.16896
adam,Adam,48365568,669.3374633789062,85.79857750206727,3,49.535831816905514,48.365568
adam,Adam,48562176,708.7303873697916,83.85246363724754,3,48.41224245317817,48.562176
adam,Adam,48758784,778.9383951822916,86.04924637761773,3,49.680555559682034,48.758784
adam,Adam,48955392,794.9620971679688,93.00812095543277,3,53.69826367044039,48.955392
adam,Adam,49152000,831.02294921875,105.8068060672165,3,61.08758796500198,49.152
adam,Adam,49348608,889.9259847005209,60.90921158329082,3,35.16594970374083,49.348608
adam,Adam,49545216,889.1152750651041,57.14856212734485,3,32.994737728022606,49.545216
adam,Adam,49741824,942.2725219726562,73.49204408884174,3,42.43065143798862,49.741824
adam,Adam,49938432,957.8828328450521,64.20587977962757,3,37.069281974324724,49.938432
adam,Adam,50135040,1020.9592692057291,98.37902640731151,3,56.79915737887461,50.13504
adam,Adam,50331648,1047.410135904948,67.11438567626625,3,38.74850863668868,50.331648
adam,Adam,50528256,1047.6652425130208,81.75308027631986,3,47.20016290461436,50.528256
adam,Adam,50724864,1158.7916870117188,128.02115144250857,3,73.91304624729817,50.724864
