optimizer,seed,task,epret,eplen,rstep,obs_delay_mean,act_delay_mean,actor_dorm,value_dorm
adam,0,0,95.72586822509766,81.55786832173665,1.187516301870346,3.500385800997416,2.499766925970713,0.694444477558136,2.055685594677925
adam,0,1,170.60183170863561,112.98734283447266,1.5178199580737524,2.0006082313401357,3.4999823229653493,2.18253983770098,15.763353960854667
adam,0,2,214.29810333251953,123.64853413899739,1.742193768421809,2.500192940235138,2.5003819863001504,2.777777910232544,20.953680992126465
adam,0,3,215.21980701793325,122.50758708607067,1.7656861001794988,3.0000042481855913,3.500207229094072,2.9671718424016778,25.05854710665616
adam,0,4,269.45362599690753,143.67418924967447,1.8865292966365814,2.4992095629374185,1.50089693069458,4.1666669845581055,27.51105769475301
adam,0,5,311.7801430442116,154.44942821155894,2.0240034840323706,1.4996805407784202,1.5008600841869006,3.851010322570801,29.423035188154742
adam,0,6,505.9090627034505,207.15035756429037,2.4525153239568076,0.49992456038792926,1.5003327826658885,2.9513890147209167,30.945873896280926
adam,0,7,272.5661045954778,126.46525573730469,2.1631865134605994,1.9991158063595111,2.9996968782865086,3.579059967627892,31.669968091524563
adam,0,8,441.5413114107572,177.26849599984976,2.501680245766273,2.000378049336947,1.4998740599705622,2.9914531157566953,33.06311064500075
adam,0,9,273.42813579852765,137.68954350398138,1.9968717006536632,3.5001166600447435,2.99989285835853,4.594017358926626,35.038729447584885
adam,0,10,312.938723050631,155.7509026160607,2.0201228031745324,3.5000423101278453,2.4999871804164004,4.861111164093018,37.21251443716196
adam,0,11,509.9876239483173,202.5460486778846,2.5263179265535793,2.4998369216918945,1.4999284285765428,4.1666669845581055,37.38065220759465
adam,0,12,516.2713928222656,224.52992387251422,2.3048602667721836,1.499864556572654,1.4995741844177246,4.229798273606733,37.520403081720524
adam,0,13,641.0084228515625,234.45441309611002,2.739209314187368,1.4998656709988911,1.49996613462766,4.918981552124023,38.65469614664713
adam,0,14,398.88691850142044,168.45501015403053,2.3712271343577993,3.0004203753037886,1.9988380670547485,4.9873739155856045,39.0391020341353
