optimizer,seed,task,obs_delay,act_delay,epret,eplen,rstep,astd,actor_dorm,value_dorm
adam,0,0,0,0,4094.6521199544272,762.1465098063151,5.562391956647237,0.3296028822660446,0.0,10.571167707443237
adam,0,1,1,0,2053.3941040039062,383.98324148995533,5.388492243630545,0.3140080315726144,0.2976190618106297,10.78956127166748
adam,0,2,1,1,1218.1749489524148,282.26720636541194,4.3267788020047275,0.28042234073985706,1.388888955116272,11.32637830214067
adam,0,3,2,1,910.9099807739258,235.7248411178589,3.886507749557495,0.26675429567694664,1.388888955116272,12.748828828334808
adam,0,4,2,2,926.301338704427,252.11084696451823,3.6862967650095624,0.2494821031888326,1.898148282368978,14.70205504099528
adam,0,5,3,2,756.8469970703125,223.1401565551758,3.407231259346008,0.23737615197896958,2.708333468437195,16.99453468322754
adam,0,6,3,3,548.2056415264423,181.77125197190506,3.026976438669058,0.2347489194228099,2.4038463005652795,18.26097297668457
adam,0,7,4,3,348.06089477539064,135.05665588378906,2.5945358753204344,0.22346375286579132,2.777777910232544,20.983605766296385
adam,0,8,4,4,264.7877584604117,118.13776456392728,2.254550291941716,0.22674210598835579,2.777777910232544,23.443222486055813
adam,0,9,5,4,254.75345865885416,126.27283668518066,2.0293922225634256,0.22304203982154527,2.0833334922790527,29.14389705657959
adam,0,10,5,5,343.914081920277,158.78807345303622,2.1774685599587182,0.2306711267341267,2.0833334922790527,32.86494827270508
adam,0,11,6,5,654.524853515625,251.20891418457032,2.6142024993896484,0.23795989900827408,2.0833334922790527,35.105384063720706
adam,0,12,6,6,1090.0073738098145,356.64367485046387,3.0667961090803146,0.24705104157328606,2.0833334922790527,36.875487089157104
adam,0,13,7,6,1434.3793334960938,429.6630340576172,3.3563244342803955,0.24861340075731278,2.0833334922790527,38.12646331787109
adam,0,14,7,7,1194.6187235514324,352.45909627278644,3.3952422936757407,0.25066182017326355,2.0833334922790527,38.18631235758463
adam,0,15,8,7,1580.667626953125,461.80185546875,3.4427674055099486,0.2516808480024338,2.0833334922790527,40.03903045654297
adam,0,16,8,8,1579.9474252554087,454.6551020695613,3.482415272639348,0.24680901146852052,2.0833334922790527,40.923555227426384
adam,0,17,9,8,1418.2694646661932,411.65470470081675,3.4610876603560015,0.2568107680840926,2.0833334922790527,41.67198666659269
adam,0,18,9,9,1034.175203450521,309.1305867513021,3.3498576482137046,0.2622766027847926,2.1296297868092853,41.030442810058595
adam,0,19,10,9,1039.3508245294745,332.2194463556463,3.1409693631258877,0.2496284761212089,3.472222328186035,42.3177885575728
adam,0,20,10,10,717.6989624023438,237.7628377278646,3.030593013763428,0.29057248334089913,2.1296297868092853,42.20660680135091
regrama,0,0,0,0,3893.961710611979,711.0160929361979,5.707345008850098,0.3485632960995038,0.0,10.67525307337443
regrama,0,1,1,0,2195.0306570870534,417.5361022949219,5.300561428070068,0.322853935616357,0.6448413005896977,11.168729373386928
regrama,0,2,1,1,1767.062255859375,383.6474054509943,4.636803366921165,0.2935425774617629,1.388888955116272,12.802497777071865
regrama,0,3,2,1,1666.433494567871,391.8620796203613,4.264666944742203,0.26871234364807606,1.388888955116272,14.637001812458038
regrama,0,4,2,2,958.4052530924479,262.5906677246094,3.670882749557495,0.2554034690062205,1.388888955116272,14.780119132995605
regrama,0,5,3,2,562.1179840087891,182.91427612304688,3.0899953603744508,0.2442817509174347,1.388888955116272,15.347384357452393
regrama,0,6,3,3,356.75357759915863,138.96978290264423,2.580287915009719,0.23922331860432258,1.388888955116272,15.798954596886269
regrama,0,7,4,3,233.68524169921875,106.88146896362305,2.1948741912841796,0.2402652084827423,2.0833334922790527,18.462138748168947
regrama,0,8,4,4,196.95588566706732,99.39436633770282,1.9961024797879732,0.23507120059086725,2.0833334922790527,19.94835692185622
regrama,0,9,5,4,211.15319442749023,116.25582504272461,1.8257548809051514,0.22301878531773886,2.777777910232544,24.017693201700848
regrama,0,10,5,5,290.7098000266335,149.2320792458274,1.9589156671003862,0.222867029634389,2.777777910232544,26.1301533092152
regrama,0,11,6,5,437.9743255615234,185.37037963867186,2.371304655075073,0.22235369682312012,2.5694445848464964,26.768148803710936
regrama,0,12,6,6,790.999324798584,286.5727767944336,2.7669715583324432,0.22076584678143263,2.777777910232544,28.815377950668335
regrama,0,13,7,6,840.0570495605468,289.8984832763672,2.909929895401001,0.22017659544944762,2.777777910232544,29.898515701293945
regrama,0,14,7,7,975.8862508138021,315.2914352416992,3.106581370035807,0.22282671431700388,2.1990742286046348,30.464479446411133
regrama,0,15,8,7,1024.5981750488281,329.02362670898435,3.1218058109283446,0.22988625168800353,2.0833334922790527,32.07650184631348
regrama,0,16,8,8,829.7348398061899,271.73164719801684,3.0567637223463793,0.23486486765054557,2.0833334922790527,31.225603397075947
