method,method_label,step,mean_return,std_return,n_seeds,sem_return,step_millions
adam,Adam,196608.0,-30.86675190925598,2.9437670144506134,8,1.0407788090756531,0.196608
adam,Adam,393216.0,-34.66283869743347,3.487510018867653,8,1.2330209918986708,0.393216
adam,Adam,589824.0,-30.452387809753418,2.88610653385785,8,1.020392750658844,0.589824
adam,Adam,786432.0,-26.459886074066162,2.903717467057794,8,1.0266191558031958,0.786432
adam,Adam,983040.0,-22.48641586303711,2.9512998383916322,8,1.0434420645207425,0.98304
adam,Adam,1179648.0,-18.437182307243347,2.7306621083377647,8,0.9654348469673941,1.179648
adam,Adam,1376256.0,-14.681445837020874,2.247533963799721,8,0.7946232533749316,1.376256
adam,Adam,1572864.0,-11.186661005020142,2.186468622323005,8,0.7730333948481026,1.572864
adam,Adam,1769472.0,-7.6395745277404785,2.321287679700876,8,0.8206991297006379,1.769472
adam,Adam,1966080.0,-4.325201079249382,2.1305787115557373,8,0.7532733273963795,1.96608
adam,Adam,2162688.0,-1.032682379707694,1.9911841519838918,8,0.7039899082294975,2.162688
adam,Adam,2359296.0,2.1248746439814568,1.860277328489435,8,0.6577073569312369,2.359296
adam,Adam,2555904.0,5.470427215099335,1.9547477674445919,8,0.6911077009346677,2.555904
adam,Adam,2752512.0,8.440740585327148,1.6603960554807606,8,0.5870386551429204,2.752512
adam,Adam,2949120.0,11.591124653816223,1.786424752416315,8,0.6315965282565378,2.94912
adam,Adam,3145728.0,14.704765796661377,1.7587267069715333,8,0.6218037903767286,3.145728
adam,Adam,3342336.0,17.7748966217041,1.7268571497788492,8,0.6105362003745489,3.342336
adam,Adam,3538944.0,21.451951265335083,2.1392599927332836,8,0.7563426237913946,3.538944
adam,Adam,3735552.0,24.72210669517517,1.8835209488205202,8,0.665925217708955,3.735552
adam,Adam,3932160.0,28.519703149795532,2.122677574846172,8,0.7504798537231717,3.93216
adam,Adam,4128768.0,32.724674224853516,2.547039669699908,8,0.9005145111979744,4.128768
